sku;urun;alan;birim;bizim_deger;bizim_kaynak;uretici_deger;fark;fark_yuzde;kaynak_belge;kaynak_sayfa;kaynak_turu;alinti;hukum;not
AVE-ENKEC310;ENKELFAN 310 EEC;devir;d/dk;2350;canlı teknik veri;2350;0;0;markalar/avens/plug-fanlar-enkelfan/01-input/82f7f-cata-logo-plug-fans_casals.pdf;16;üretici;ENKEC310 | ENKELFAN 310 EEC | 2350 | 1,7 | 0,36 | 3.160 | 55 | 13 | 2;aynı;
AVE-ENKEC310;ENKELFAN 310 EEC;üretici kodu;;ENKEC310;AVenS fiyat listesi 2026 s.49;ENKEC310;;;markalar/avens/plug-fanlar-enkelfan/01-input/82f7f-cata-logo-plug-fans_casals.pdf;16;üretici;ENKEC310 | ENKELFAN 310 EEC | 2350 | 1,7 | 0,36 | 3.160 | 55 | 13 | 2;aynı;kod farkı: sürüm farkı mı yazım hatası mı — AVenS'e sorulur
AVE-ENKEC355;ENKELFAN 355 EEC;debi (kaynakta tanımsız: Air flow);m³/h;4890;AVenS fiyat listesi 2026 s.49: ENKEC 355 | ENKELFAN 355 EEC | 4890 m³/h;4890;0;0;markalar/avens/plug-fanlar-enkelfan/01-input/82f7f-cata-logo-plug-fans_casals.pdf;16;üretici;ENKEC355 | ENKELFAN 355 EEC | 2100 | 1,63 | 0,99 | 4.890 | 55 | 17,5 | 3;aynı;"kaynak ""Air flow"" diyor: en yüksek debi mi çalışma noktası mı belirtilmemiş — AVenS'e sorulur"
AVE-ENKEC355;ENKELFAN 355 EEC;devir;d/dk;2100;canlı teknik veri;2100;0;0;markalar/avens/plug-fanlar-enkelfan/01-input/82f7f-cata-logo-plug-fans_casals.pdf;16;üretici;ENKEC355 | ENKELFAN 355 EEC | 2100 | 1,63 | 0,99 | 4.890 | 55 | 17,5 | 3;aynı;
AVE-ENKEC355;ENKELFAN 355 EEC;üretici kodu;;ENKEC355;AVenS fiyat listesi 2026 s.49;ENKEC355;;;markalar/avens/plug-fanlar-enkelfan/01-input/82f7f-cata-logo-plug-fans_casals.pdf;16;üretici;ENKEC355 | ENKELFAN 355 EEC | 2100 | 1,63 | 0,99 | 4.890 | 55 | 17,5 | 3;aynı;kod farkı: sürüm farkı mı yazım hatası mı — AVenS'e sorulur
AVE-ENKEC450;ENKELFAN 450 EEC;debi (kaynakta tanımsız: Air flow);m³/h;6955;AVenS fiyat listesi 2026 s.49: ENKEC 450 | ENKELFAN 450 EEC | 6955 m³/h;6955;0;0;markalar/avens/plug-fanlar-enkelfan/01-input/82f7f-cata-logo-plug-fans_casals.pdf;16;üretici;ENKEC450 | ENKELFAN 450 EEC | 1450 | 1,67 | 1,01 | 6.955 | 48 | 26 | 3;aynı;"kaynak ""Air flow"" diyor: en yüksek debi mi çalışma noktası mı belirtilmemiş — AVenS'e sorulur"
AVE-ENKEC450;ENKELFAN 450 EEC;devir;d/dk;1450;canlı teknik veri;1450;0;0;markalar/avens/plug-fanlar-enkelfan/01-input/82f7f-cata-logo-plug-fans_casals.pdf;16;üretici;ENKEC450 | ENKELFAN 450 EEC | 1450 | 1,67 | 1,01 | 6.955 | 48 | 26 | 3;aynı;
AVE-ENKEC450;ENKELFAN 450 EEC;üretici kodu;;ENKEC450;AVenS fiyat listesi 2026 s.49;ENKEC450;;;markalar/avens/plug-fanlar-enkelfan/01-input/82f7f-cata-logo-plug-fans_casals.pdf;16;üretici;ENKEC450 | ENKELFAN 450 EEC | 1450 | 1,67 | 1,01 | 6.955 | 48 | 26 | 3;aynı;kod farkı: sürüm farkı mı yazım hatası mı — AVenS'e sorulur
AVE-ENKEC500;ENKELFAN 500 EEC;debi (kaynakta tanımsız: Air flow);m³/h;13850;AVenS fiyat listesi 2026 s.49: ENKEC 500 | ENKELFAN 500 EEC | 13850 m³/h;13850;0;0;markalar/avens/plug-fanlar-enkelfan/01-input/82f7f-cata-logo-plug-fans_casals.pdf;16;üretici;ENKEC500 | ENKELFAN 500 EEC | 1800 | 4,95 | 3,00 | 13.850 | 73 | 40 | 4;aynı;"kaynak ""Air flow"" diyor: en yüksek debi mi çalışma noktası mı belirtilmemiş — AVenS'e sorulur"
AVE-ENKEC500;ENKELFAN 500 EEC;devir;d/dk;1800;canlı teknik veri;1800;0;0;markalar/avens/plug-fanlar-enkelfan/01-input/82f7f-cata-logo-plug-fans_casals.pdf;16;üretici;ENKEC500 | ENKELFAN 500 EEC | 1800 | 4,95 | 3,00 | 13.850 | 73 | 40 | 4;aynı;
AVE-ENKEC500;ENKELFAN 500 EEC;üretici kodu;;ENKEC500;AVenS fiyat listesi 2026 s.49;ENKEC500;;;markalar/avens/plug-fanlar-enkelfan/01-input/82f7f-cata-logo-plug-fans_casals.pdf;16;üretici;ENKEC500 | ENKELFAN 500 EEC | 1800 | 4,95 | 3,00 | 13.850 | 73 | 40 | 4;aynı;kod farkı: sürüm farkı mı yazım hatası mı — AVenS'e sorulur
AVE-ENKEC560;ENKELFAN 560 EEC;debi (kaynakta tanımsız: Air flow);m³/h;16100;AVenS fiyat listesi 2026 s.49: ENKEC 560 | ENKELFAN 560 EEC | 16100 m³/h;16100;0;0;markalar/avens/plug-fanlar-enkelfan/01-input/82f7f-cata-logo-plug-fans_casals.pdf;16;üretici;ENKEC560 | ENKELFAN 560 EEC | 1520 | 4,4 | 2,77 | 16.100 | 85 | 48 | 4;aynı;"kaynak ""Air flow"" diyor: en yüksek debi mi çalışma noktası mı belirtilmemiş — AVenS'e sorulur"
AVE-ENKEC560;ENKELFAN 560 EEC;devir;d/dk;1520;canlı teknik veri;1520;0;0;markalar/avens/plug-fanlar-enkelfan/01-input/82f7f-cata-logo-plug-fans_casals.pdf;16;üretici;ENKEC560 | ENKELFAN 560 EEC | 1520 | 4,4 | 2,77 | 16.100 | 85 | 48 | 4;aynı;
AVE-ENKEC560;ENKELFAN 560 EEC;üretici kodu;;ENKEC560;AVenS fiyat listesi 2026 s.49;ENKEC560;;;markalar/avens/plug-fanlar-enkelfan/01-input/82f7f-cata-logo-plug-fans_casals.pdf;16;üretici;ENKEC560 | ENKELFAN 560 EEC | 1520 | 4,4 | 2,77 | 16.100 | 85 | 48 | 4;aynı;kod farkı: sürüm farkı mı yazım hatası mı — AVenS'e sorulur
AVE-ENKEC630;ENKELFAN 630 EEC;debi (kaynakta tanımsız: Air flow);m³/h;18600;AVenS fiyat listesi 2026 s.49: ENKEC630 | ENKELFAN 630 EEC | 18600 m³/h;18600;0;0;markalar/avens/plug-fanlar-enkelfan/01-input/82f7f-cata-logo-plug-fans_casals.pdf;16;üretici;ENKEC630 | ENKELFAN 630 EEC | 1250 | 4,4 | 2,70 | 18.600 | 100 | 53 | 4;aynı;"kaynak ""Air flow"" diyor: en yüksek debi mi çalışma noktası mı belirtilmemiş — AVenS'e sorulur"
AVE-ENKEC630;ENKELFAN 630 EEC;devir;d/dk;1250;canlı teknik veri;1250;0;0;markalar/avens/plug-fanlar-enkelfan/01-input/82f7f-cata-logo-plug-fans_casals.pdf;16;üretici;ENKEC630 | ENKELFAN 630 EEC | 1250 | 4,4 | 2,70 | 18.600 | 100 | 53 | 4;aynı;
AVE-ENKEC630;ENKELFAN 630 EEC;üretici kodu;;ENKEC630;AVenS fiyat listesi 2026 s.49;ENKEC630;;;markalar/avens/plug-fanlar-enkelfan/01-input/82f7f-cata-logo-plug-fans_casals.pdf;16;üretici;ENKEC630 | ENKELFAN 630 EEC | 1250 | 4,4 | 2,70 | 18.600 | 100 | 53 | 4;aynı;kod farkı: sürüm farkı mı yazım hatası mı — AVenS'e sorulur
AVE-NS10014225;NIMUS 1001 T4 45kW;debi (kaynakta tanımsız: Air flow);m³/h;75390;AVenS fiyat listesi 2026 s.47: NS10014225 | NIMUS 1001 T4 45kW | 75390 m³/h;75390;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS10014225 NIMUS 1001 T4 45kW 1475 - 80,7 45 75.390 79 438,91 1;aynı;"kaynak ""Air flow"" diyor: en yüksek debi mi çalışma noktası mı belirtilmemiş — AVenS'e sorulur"
AVE-NS10014225;NIMUS 1001 T4 45kW;devir;d/dk;1475;canlı teknik veri;1475;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS10014225 NIMUS 1001 T4 45kW 1475 - 80,7 45 75.390 79 438,91 1;aynı;
AVE-NS10014225;NIMUS 1001 T4 45kW;motor gücü;kW;45;ürün adı (canlı);45;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS10014225 NIMUS 1001 T4 45kW 1475 - 80,7 45 75.390 79 438,91 1;aynı;
AVE-NS10014225;NIMUS 1001 T4 45kW;üretici kodu;;NS10014225;AVenS fiyat listesi 2026 s.47;NS10014225;;;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS10014225 NIMUS 1001 T4 45kW 1475 - 80,7 45 75.390 79 438,91 1;aynı;kod farkı: sürüm farkı mı yazım hatası mı — AVenS'e sorulur
AVE-NS311280;NIMUS 311 T2 1,1kW;debi (kaynakta tanımsız: Air flow);m³/h;4710;AVenS fiyat listesi 2026 s.47: NS311280 | NIMUS 311 T2 1,1kW | 4710 m³/h;4720;10;0.2;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS311280 NIMUS 311 T2 1,1kW 2800 4,05 2,33 1,10 4.720 58 34,97 1;belirsiz;"kaynak ""Air flow"" diyor: en yüksek debi mi çalışma noktası mı belirtilmemiş — AVenS'e sorulur"
AVE-NS311280;NIMUS 311 T2 1,1kW;devir;d/dk;2800;canlı teknik veri;2800;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS311280 NIMUS 311 T2 1,1kW 2800 4,05 2,33 1,10 4.720 58 34,97 1;aynı;
AVE-NS311280;NIMUS 311 T2 1,1kW;motor gücü;kW;1.1;ürün adı (canlı);1.1;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS311280 NIMUS 311 T2 1,1kW 2800 4,05 2,33 1,10 4.720 58 34,97 1;aynı;
AVE-NS311280;NIMUS 311 T2 1,1kW;üretici kodu;;NS311280;AVenS fiyat listesi 2026 s.47;NS311280;;;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS311280 NIMUS 311 T2 1,1kW 2800 4,05 2,33 1,10 4.720 58 34,97 1;aynı;kod farkı: sürüm farkı mı yazım hatası mı — AVenS'e sorulur
AVE-NS351290;NIMUS 351 T2 2,2kW;debi (kaynakta tanımsız: Air flow);m³/h;6750;AVenS fiyat listesi 2026 s.47: NS351290 | NIMUS 351 T2 2,2kW | 6750 m³/h;6750;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS351290 NIMUS 351 T2 2,2kW 2840 7,97 4,58 2,20 6.750 62 44,12 1;aynı;"kaynak ""Air flow"" diyor: en yüksek debi mi çalışma noktası mı belirtilmemiş — AVenS'e sorulur"
AVE-NS351290;NIMUS 351 T2 2,2kW;devir;d/dk;2840;canlı teknik veri;2840;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS351290 NIMUS 351 T2 2,2kW 2840 7,97 4,58 2,20 6.750 62 44,12 1;aynı;
AVE-NS351290;NIMUS 351 T2 2,2kW;motor gücü;kW;2.2;ürün adı (canlı);2.2;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS351290 NIMUS 351 T2 2,2kW 2840 7,97 4,58 2,20 6.750 62 44,12 1;aynı;
AVE-NS351290;NIMUS 351 T2 2,2kW;üretici kodu;;NS351290;AVenS fiyat listesi 2026 s.47;NS351290;;;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS351290 NIMUS 351 T2 2,2kW 2840 7,97 4,58 2,20 6.750 62 44,12 1;aynı;kod farkı: sürüm farkı mı yazım hatası mı — AVenS'e sorulur
AVE-NS351471;NIMUS 351 T4 0,37kW;debi (kaynakta tanımsız: Air flow);m³/h;3370;AVenS fiyat listesi 2026 s.47: NS351471 | NIMUS 351 T4 0,37kW | 3370 m³/h;3370;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS351471 NIMUS 351 T4 0,37kW 1400 1,86 1,07 0,37 3.370 47 43,16 1;aynı;"kaynak ""Air flow"" diyor: en yüksek debi mi çalışma noktası mı belirtilmemiş — AVenS'e sorulur"
AVE-NS351471;NIMUS 351 T4 0,37kW;devir;d/dk;1400;canlı teknik veri;1400;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS351471 NIMUS 351 T4 0,37kW 1400 1,86 1,07 0,37 3.370 47 43,16 1;aynı;
AVE-NS351471;NIMUS 351 T4 0,37kW;motor gücü;kW;0.37;ürün adı (canlı);0.37;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS351471 NIMUS 351 T4 0,37kW 1400 1,86 1,07 0,37 3.370 47 43,16 1;aynı;
AVE-NS351471;NIMUS 351 T4 0,37kW;üretici kodu;;NS351471;AVenS fiyat listesi 2026 s.47;NS351471;;;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS351471 NIMUS 351 T4 0,37kW 1400 1,86 1,07 0,37 3.370 47 43,16 1;aynı;kod farkı: sürüm farkı mı yazım hatası mı — AVenS'e sorulur
AVE-NS4012100;NIMUS 401 T2 4kW;debi (kaynakta tanımsız: Air flow);m³/h;9650;AVenS fiyat listesi 2026 s.47: NS4012100 | NIMUS 401 T2 4kW | 9650 m³/h;9660;10;0.1;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS4012100 NIMUS 401 T2 4kW 2880 13,3 7,63 4,00 9.660 66 61,47 1;belirsiz;"kaynak ""Air flow"" diyor: en yüksek debi mi çalışma noktası mı belirtilmemiş — AVenS'e sorulur"
AVE-NS4012100;NIMUS 401 T2 4kW;devir;d/dk;2880;canlı teknik veri;2880;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS4012100 NIMUS 401 T2 4kW 2880 13,3 7,63 4,00 9.660 66 61,47 1;aynı;
AVE-NS4012100;NIMUS 401 T2 4kW;motor gücü;kW;4;ürün adı (canlı);4;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS4012100 NIMUS 401 T2 4kW 2880 13,3 7,63 4,00 9.660 66 61,47 1;aynı;
AVE-NS4012100;NIMUS 401 T2 4kW;üretici kodu;;NS4012100;AVenS fiyat listesi 2026 s.47;NS4012100;;;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS4012100 NIMUS 401 T2 4kW 2880 13,3 7,63 4,00 9.660 66 61,47 1;aynı;kod farkı: sürüm farkı mı yazım hatası mı — AVenS'e sorulur
AVE-NS401480;NIMUS 401 T4 0,55kW;debi (kaynakta tanımsız: Air flow);m³/h;4830;AVenS fiyat listesi 2026 s.47: NS401480 | NIMUS 401 T4 0,55kW | 4830 m³/h;4830;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS401480 NIMUS 401 T4 0,55kW 1400 2,57 1,49 0,55 4.830 51 55,47 1;aynı;"kaynak ""Air flow"" diyor: en yüksek debi mi çalışma noktası mı belirtilmemiş — AVenS'e sorulur"
AVE-NS401480;NIMUS 401 T4 0,55kW;devir;d/dk;1400;canlı teknik veri;1400;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS401480 NIMUS 401 T4 0,55kW 1400 2,57 1,49 0,55 4.830 51 55,47 1;aynı;
AVE-NS401480;NIMUS 401 T4 0,55kW;motor gücü;kW;0.55;ürün adı (canlı);0.55;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS401480 NIMUS 401 T4 0,55kW 1400 2,57 1,49 0,55 4.830 51 55,47 1;aynı;
AVE-NS401480;NIMUS 401 T4 0,55kW;üretici kodu;;NS401480;AVenS fiyat listesi 2026 s.47;NS401480;;;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS401480 NIMUS 401 T4 0,55kW 1400 2,57 1,49 0,55 4.830 51 55,47 1;aynı;kod farkı: sürüm farkı mı yazım hatası mı — AVenS'e sorulur
AVE-NS4512132;NIMUS 451 T2 7,5kW;debi (kaynakta tanımsız: Air flow);m³/h;13740;AVenS fiyat listesi 2026 s.47: NS4512132 | NIMUS 451 T2 7,5kW | 13740 m³/h;13750;10;0.1;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS4512132 NIMUS 451 T2 7,5kW 2910 - 14,1 7,50 13.750 69 86,03 1;belirsiz;"kaynak ""Air flow"" diyor: en yüksek debi mi çalışma noktası mı belirtilmemiş — AVenS'e sorulur"
AVE-NS4512132;NIMUS 451 T2 7,5kW;devir;d/dk;2910;canlı teknik veri;2910;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS4512132 NIMUS 451 T2 7,5kW 2910 - 14,1 7,50 13.750 69 86,03 1;aynı;
AVE-NS4512132;NIMUS 451 T2 7,5kW;motor gücü;kW;7.5;ürün adı (canlı);7.5;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS4512132 NIMUS 451 T2 7,5kW 2910 - 14,1 7,50 13.750 69 86,03 1;aynı;
AVE-NS4512132;NIMUS 451 T2 7,5kW;üretici kodu;;NS4512132;AVenS fiyat listesi 2026 s.47;NS4512132;;;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS4512132 NIMUS 451 T2 7,5kW 2910 - 14,1 7,50 13.750 69 86,03 1;aynı;kod farkı: sürüm farkı mı yazım hatası mı — AVenS'e sorulur
AVE-NS451480;NIMUS 451 T4 0,75kW;debi (kaynakta tanımsız: Air flow);m³/h;6870;AVenS fiyat listesi 2026 s.47: NS451480 | NIMUS 451 T4 0,75kW | 6870 m³/h;6870;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS451480 NIMUS 451 T4 0,75kW 1410 2,83 1,63 0,75 6.870 54 69,17 1;aynı;"kaynak ""Air flow"" diyor: en yüksek debi mi çalışma noktası mı belirtilmemiş — AVenS'e sorulur"
AVE-NS451480;NIMUS 451 T4 0,75kW;devir;d/dk;1410;canlı teknik veri;1410;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS451480 NIMUS 451 T4 0,75kW 1410 2,83 1,63 0,75 6.870 54 69,17 1;aynı;
AVE-NS451480;NIMUS 451 T4 0,75kW;motor gücü;kW;0.75;ürün adı (canlı);0.75;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS451480 NIMUS 451 T4 0,75kW 1410 2,83 1,63 0,75 6.870 54 69,17 1;aynı;
AVE-NS451480;NIMUS 451 T4 0,75kW;üretici kodu;;NS451480;AVenS fiyat listesi 2026 s.47;NS451480;;;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS451480 NIMUS 451 T4 0,75kW 1410 2,83 1,63 0,75 6.870 54 69,17 1;aynı;kod farkı: sürüm farkı mı yazım hatası mı — AVenS'e sorulur
AVE-NS5012160;NIMUS 501 T2 11kW;debi (kaynakta tanımsız: Air flow);m³/h;18850;AVenS fiyat listesi 2026 s.47: NS5012160 | NIMUS 501 T2 11kW | 18850 m³/h;18850;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS5012160 NIMUS 501 T2 11kW 2940 - 20,8 11,00 18.850 73 110,05 1;aynı;"kaynak ""Air flow"" diyor: en yüksek debi mi çalışma noktası mı belirtilmemiş — AVenS'e sorulur"
AVE-NS5012160;NIMUS 501 T2 11kW;devir;d/dk;2940;canlı teknik veri;2940;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS5012160 NIMUS 501 T2 11kW 2940 - 20,8 11,00 18.850 73 110,05 1;aynı;
AVE-NS5012160;NIMUS 501 T2 11kW;motor gücü;kW;11;ürün adı (canlı);11;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS5012160 NIMUS 501 T2 11kW 2940 - 20,8 11,00 18.850 73 110,05 1;aynı;
AVE-NS5012160;NIMUS 501 T2 11kW;üretici kodu;;NS5012160;AVenS fiyat listesi 2026 s.47;NS5012160;;;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS5012160 NIMUS 501 T2 11kW 2940 - 20,8 11,00 18.850 73 110,05 1;aynı;kod farkı: sürüm farkı mı yazım hatası mı — AVenS'e sorulur
