sku;ad;dal;marka;aile_bugun;aile_yeni;slug_bugun;eski_ek_slug;slug_tr;slug_en;adres_tr;adres_en;uzunluk_tr;not
AVE-1200;AVENS 40x20;duct-fans;avens;avens-dikdortgen-kanal-radyal;avens-dikdortgen-kanal-tipi-radyal-fanlar;avens-40x20-1200;;avens-40x20-kanal-tipi-fan;avens-40x20-inline-duct-fan;/tr/urun/avens-40x20-kanal-tipi-fan-p-ave-1200;/en/products/avens-40x20-inline-duct-fan-p-ave-1200;26;specs-bos
AVE-1250;AVENS 50x25;duct-fans;avens;avens-dikdortgen-kanal-radyal;avens-dikdortgen-kanal-tipi-radyal-fanlar;avens-50x25-1250;;avens-50x25-kanal-tipi-fan;avens-50x25-inline-duct-fan;/tr/urun/avens-50x25-kanal-tipi-fan-p-ave-1250;/en/products/avens-50x25-inline-duct-fan-p-ave-1250;26;specs-bos
AVE-13010;AVenS 750 ISI GERİ KAZANIM CİHAZI;ducted-central-hrv;avens;avens-isi-geri-kazanim;avens-isi-geri-kazanim-cihazlari;avens-750-isi-geri-kazanim-cihazi-13010;;avens-750-isi-geri-kazanim-cihazi;avens-750-heat-recovery-unit;/tr/urun/avens-750-isi-geri-kazanim-cihazi-p-ave-13010;/en/products/avens-750-heat-recovery-unit-p-ave-13010;33;kural2
AVE-13011;AVenS 1000 ISI GERİ KAZANIM CİHAZI;ducted-central-hrv;avens;avens-isi-geri-kazanim;avens-isi-geri-kazanim-cihazlari;avens-1000-isi-geri-kazanim-cihazi-13011;;avens-1000-isi-geri-kazanim-cihazi;avens-1000-heat-recovery-unit;/tr/urun/avens-1000-isi-geri-kazanim-cihazi-p-ave-13011;/en/products/avens-1000-heat-recovery-unit-p-ave-13011;34;kural2
AVE-13013;AVenS 2000 ISI GERİ KAZANIM CİHAZI;ducted-central-hrv;avens;avens-isi-geri-kazanim;avens-isi-geri-kazanim-cihazlari;avens-2000-isi-geri-kazanim-cihazi-13013;;avens-2000-isi-geri-kazanim-cihazi;avens-2000-heat-recovery-unit;/tr/urun/avens-2000-isi-geri-kazanim-cihazi-p-ave-13013;/en/products/avens-2000-heat-recovery-unit-p-ave-13013;34;kural2
AVE-13032;6 kW Elektrikli Isıtıcı;electric-duct-heaters;avens;avens-elektrikli-isiticilar;avens-elektrikli-kanal-isiticilari;6-kw-elektrikli-isitici-13032;;avens-6kw-elektrikli-kanal-isiticisi-2000m3h;avens-6kw-electric-duct-heater-2000m3h;/tr/urun/avens-6kw-elektrikli-kanal-isiticisi-2000m3h-p-ave-13032;/en/products/avens-6kw-electric-duct-heater-2000m3h-p-ave-13032;44;kural2
AVE-13033;9 kW Elektrikli Isıtıcı;electric-duct-heaters;avens;avens-elektrikli-isiticilar;avens-elektrikli-kanal-isiticilari;9-kw-elektrikli-isitici-13033;;avens-9kw-elektrikli-kanal-isiticisi-3000m3h;avens-9kw-electric-duct-heater-3000m3h;/tr/urun/avens-9kw-elektrikli-kanal-isiticisi-3000m3h-p-ave-13033;/en/products/avens-9kw-electric-duct-heater-3000m3h-p-ave-13033;44;kural2
AVE-13034;12 kW Elektrikli Isıtıcı;electric-duct-heaters;avens;avens-elektrikli-isiticilar;avens-elektrikli-kanal-isiticilari;12-kw-elektrikli-isitici-13034;;avens-12kw-elektrikli-kanal-isiticisi-4000m3h;avens-12kw-electric-duct-heater-4000m3h;/tr/urun/avens-12kw-elektrikli-kanal-isiticisi-4000m3h-p-ave-13034;/en/products/avens-12kw-electric-duct-heater-4000m3h-p-ave-13034;45;kural2
AVE-13037;3 kW Elektrikli Isıtıcı;electric-duct-heaters;avens;avens-elektrikli-isiticilar;avens-elektrikli-kanal-isiticilari;3-kw-elektrikli-isitici-13037;;avens-3kw-elektrikli-kanal-isiticisi-1000m3h;avens-3kw-electric-duct-heater-1000m3h;/tr/urun/avens-3kw-elektrikli-kanal-isiticisi-1000m3h-p-ave-13037;/en/products/avens-3kw-electric-duct-heater-1000m3h-p-ave-13037;44;kural2
AVE-13038;15 kW Elektrikli Isıtıcı;electric-duct-heaters;avens;avens-elektrikli-isiticilar;avens-elektrikli-kanal-isiticilari;15-kw-elektrikli-isitici-13038;;avens-15kw-elektrikli-kanal-isiticisi-5000m3h;avens-15kw-electric-duct-heater-5000m3h;/tr/urun/avens-15kw-elektrikli-kanal-isiticisi-5000m3h-p-ave-13038;/en/products/avens-15kw-electric-duct-heater-5000m3h-p-ave-13038;45;kural2
AVE-13039;18 kW Elektrikli Isıtıcı;electric-duct-heaters;avens;avens-elektrikli-isiticilar;avens-elektrikli-kanal-isiticilari;18-kw-elektrikli-isitici-13039;;avens-18kw-elektrikli-kanal-isiticisi-5000m3h;avens-18kw-electric-duct-heater-5000m3h;/tr/urun/avens-18kw-elektrikli-kanal-isiticisi-5000m3h-p-ave-13039;/en/products/avens-18kw-electric-duct-heater-5000m3h-p-ave-13039;45;kural2
AVE-13050;SULU BATARYA 7 KW KANAL TİPİ-4700(Kcal/h) 90/70°C;water-coil-duct-heaters;avens;avens-sulu-batarya;avens-sulu-batarya-kanal-tipi;sulu-batarya-7-kw-kanal-tipi-4700-kcal-h-90-70-c-13050;;avens-7kw-4700-kcal-h-90-70c-sulu-batarya-750m3h;avens-7kw-4700-kcal-h-90-70c-water-coil-750m3h;/tr/urun/avens-7kw-4700-kcal-h-90-70c-sulu-batarya-750m3h-p-ave-13050;/en/products/avens-7kw-4700-kcal-h-90-70c-water-coil-750m3h-p-ave-13050;48;kural2
AVE-13051;SULU BATARYA 8 KW KANAL TİPİ-7000(Kcal/h) 90/70°C;water-coil-duct-heaters;avens;avens-sulu-batarya;avens-sulu-batarya-kanal-tipi;sulu-batarya-8-kw-kanal-tipi-7000-kcal-h-90-70-c-13051;;avens-8kw-7000-kcal-h-90-70c-sulu-batarya-1000m3h;avens-8kw-7000-kcal-h-90-70c-water-coil-1000m3h;/tr/urun/avens-8kw-7000-kcal-h-90-70c-sulu-batarya-1000m3h-p-ave-13051;/en/products/avens-8kw-7000-kcal-h-90-70c-water-coil-1000m3h-p-ave-13051;49;kural2
AVE-13052;SULU BATARYA 11 KW KANAL TİPİ-11300(Kcal/h) 90/70°C;water-coil-duct-heaters;avens;avens-sulu-batarya;avens-sulu-batarya-kanal-tipi;sulu-batarya-11-kw-kanal-tipi-11300-kcal-h-90-70-c-13052;;avens-11kw-11300-kcal-h-90-70c-sulu-batarya;avens-11kw-11300-kcal-h-90-70c-water-coil;/tr/urun/avens-11kw-11300-kcal-h-90-70c-sulu-batarya-p-ave-13052;/en/products/avens-11kw-11300-kcal-h-90-70c-water-coil-p-ave-13052;43;specs-bos
AVE-13053;SULU BATARYA 14 KW KANAL TİPİ-20700(Kcal/h) 90/70°C;water-coil-duct-heaters;avens;avens-sulu-batarya;avens-sulu-batarya-kanal-tipi;sulu-batarya-14-kw-kanal-tipi-20700-kcal-h-90-70-c-13053;;avens-14kw-20700-kcal-h-90-70c-sulu-batarya;avens-14kw-20700-kcal-h-90-70c-water-coil;/tr/urun/avens-14kw-20700-kcal-h-90-70c-sulu-batarya-p-ave-13053;/en/products/avens-14kw-20700-kcal-h-90-70c-water-coil-p-ave-13053;43;specs-bos
AVE-13054;SULU BATARYA 20 KW KANAL TİPİ-33000(Kcal/h) 90/70°C;water-coil-duct-heaters;avens;avens-sulu-batarya;avens-sulu-batarya-kanal-tipi;sulu-batarya-20-kw-kanal-tipi-33000-kcal-h-90-70-c-13054;;avens-20kw-33000-kcal-h-90-70c-sulu-batarya;avens-20kw-33000-kcal-h-90-70c-water-coil;/tr/urun/avens-20kw-33000-kcal-h-90-70c-sulu-batarya-p-ave-13054;/en/products/avens-20kw-33000-kcal-h-90-70c-water-coil-p-ave-13054;43;specs-bos
AVE-13055;SULU BATARYA 28 KW KANAL TİPİ-37400(Kcal/h) 90/70°C;water-coil-duct-heaters;avens;avens-sulu-batarya;avens-sulu-batarya-kanal-tipi;sulu-batarya-28-kw-kanal-tipi-37400-kcal-h-90-70-c-13055;;avens-28kw-37400-kcal-h-90-70c-sulu-batarya;avens-28kw-37400-kcal-h-90-70c-water-coil;/tr/urun/avens-28kw-37400-kcal-h-90-70c-sulu-batarya-p-ave-13055;/en/products/avens-28kw-37400-kcal-h-90-70c-water-coil-p-ave-13055;43;specs-bos
AVE-13056;SULU BATARYA 36 KW KANAL TİPİ-42500(Kcal/h) 90/70°C;water-coil-duct-heaters;avens;avens-sulu-batarya;avens-sulu-batarya-kanal-tipi;sulu-batarya-36-kw-kanal-tipi-42500-kcal-h-90-70-c-13056;;avens-36kw-42500-kcal-h-90-70c-sulu-batarya;avens-36kw-42500-kcal-h-90-70c-water-coil;/tr/urun/avens-36kw-42500-kcal-h-90-70c-sulu-batarya-p-ave-13056;/en/products/avens-36kw-42500-kcal-h-90-70c-water-coil-p-ave-13056;43;specs-bos
AVE-13057;SULU BATARYA 40 KW KANAL TİPİ-47300(Kcal/h) 90/70°C;water-coil-duct-heaters;avens;avens-sulu-batarya;avens-sulu-batarya-kanal-tipi;sulu-batarya-40-kw-kanal-tipi-47300-kcal-h-90-70-c-13057;;avens-40kw-47300-kcal-h-90-70c-sulu-batarya;avens-40kw-47300-kcal-h-90-70c-water-coil;/tr/urun/avens-40kw-47300-kcal-h-90-70c-sulu-batarya-p-ave-13057;/en/products/avens-40kw-47300-kcal-h-90-70c-water-coil-p-ave-13057;43;specs-bos
AVE-1316;AVENS 60x30;duct-fans;avens;avens-dikdortgen-kanal-radyal;avens-dikdortgen-kanal-tipi-radyal-fanlar;avens-60x30-1316;;avens-60x30-kanal-tipi-fan;avens-60x30-inline-duct-fan;/tr/urun/avens-60x30-kanal-tipi-fan-p-ave-1316;/en/products/avens-60x30-inline-duct-fan-p-ave-1316;26;specs-bos
AVE-1317;AVENS 60x35;duct-fans;avens;avens-dikdortgen-kanal-radyal;avens-dikdortgen-kanal-tipi-radyal-fanlar;avens-60x35-1317;;avens-60x35-kanal-tipi-fan;avens-60x35-inline-duct-fan;/tr/urun/avens-60x35-kanal-tipi-fan-p-ave-1317;/en/products/avens-60x35-inline-duct-fan-p-ave-1317;26;specs-bos
AVE-1355;AVENS 70x40;duct-fans;avens;avens-dikdortgen-kanal-radyal;avens-dikdortgen-kanal-tipi-radyal-fanlar;avens-70x40-1355;;avens-70x40-kanal-tipi-fan;avens-70x40-inline-duct-fan;/tr/urun/avens-70x40-kanal-tipi-fan-p-ave-1355;/en/products/avens-70x40-inline-duct-fan-p-ave-1355;26;specs-bos
AVE-1360;AVENS 80x50;duct-fans;avens;avens-dikdortgen-kanal-radyal;avens-dikdortgen-kanal-tipi-radyal-fanlar;avens-80x50-1360;;avens-80x50-kanal-tipi-fan;avens-80x50-inline-duct-fan;/tr/urun/avens-80x50-kanal-tipi-fan-p-ave-1360;/en/products/avens-80x50-inline-duct-fan-p-ave-1360;26;specs-bos
AVE-1410;AVENS 100x50;duct-fans;avens;avens-dikdortgen-kanal-radyal;avens-dikdortgen-kanal-tipi-radyal-fanlar;avens-100x50-1410;;avens-100x50-kanal-tipi-fan;avens-100x50-inline-duct-fan;/tr/urun/avens-100x50-kanal-tipi-fan-p-ave-1410;/en/products/avens-100x50-inline-duct-fan-p-ave-1410;27;specs-bos
AVE-20100;AVenS-HF/FW 7/7 1,1 kW;cabinet-fans;avens;avens-hucreli-aspiratorler;avens-hucreli-aspiratorler-hf-fw;avens-hf-fw-7-7-1-1kw-20100;;avens-hf-fw-7-7-1-1kw-hucreli-aspirator-3400m3h;avens-hf-fw-7-7-1-1kw-cabinet-fan-3400m3h;/tr/urun/avens-hf-fw-7-7-1-1kw-hucreli-aspirator-3400m3h-p-ave-20100;/en/products/avens-hf-fw-7-7-1-1kw-cabinet-fan-3400m3h-p-ave-20100;47;deger-dustu
AVE-20110;AVenS-HF/FW 9/9 1,5 kW;cabinet-fans;avens;avens-hucreli-aspiratorler;avens-hucreli-aspiratorler-hf-fw;avens-hf-fw-9-9-1-5kw-20110;;avens-hf-fw-9-9-1-5kw-hucreli-aspirator-5000m3h;avens-hf-fw-9-9-1-5kw-cabinet-fan-5000m3h;/tr/urun/avens-hf-fw-9-9-1-5kw-hucreli-aspirator-5000m3h-p-ave-20110;/en/products/avens-hf-fw-9-9-1-5kw-cabinet-fan-5000m3h-p-ave-20110;47;deger-dustu
AVE-20120;AVenS-HF/FW 10/10 2,2 kW;cabinet-fans;avens;avens-hucreli-aspiratorler;avens-hucreli-aspiratorler-hf-fw;avens-hf-fw-10-10-2-2kw-20120;;avens-hf-fw-10-10-2-2kw-hucreli-aspirator-7000m3h;avens-hf-fw-10-10-2-2kw-cabinet-fan-7000m3h;/tr/urun/avens-hf-fw-10-10-2-2kw-hucreli-aspirator-7000m3h-p-ave-20120;/en/products/avens-hf-fw-10-10-2-2kw-cabinet-fan-7000m3h-p-ave-20120;49;deger-dustu
AVE-20130;AVenS-HF/FW 12/12 3 kW;cabinet-fans;avens;avens-hucreli-aspiratorler;avens-hucreli-aspiratorler-hf-fw;avens-hf-fw-12-12-3kw-20130;;avens-hf-fw-12-12-3kw-hucreli-aspirator-9500m3h-250pa;avens-hf-fw-12-12-3kw-cabinet-fan-9500m3h-250pa;/tr/urun/avens-hf-fw-12-12-3kw-hucreli-aspirator-9500m3h-250pa-p-ave-20130;/en/products/avens-hf-fw-12-12-3kw-cabinet-fan-9500m3h-250pa-p-ave-20130;53;
AVE-20140;AVenS-HF/FW 15/15 4 kW;cabinet-fans;avens;avens-hucreli-aspiratorler;avens-hucreli-aspiratorler-hf-fw;avens-hf-fw-15-15-4kw-20140;;avens-hf-fw-15-15-4kw-hucreli-aspirator-14000m3h-250pa;avens-hf-fw-15-15-4kw-cabinet-fan-14000m3h-250pa;/tr/urun/avens-hf-fw-15-15-4kw-hucreli-aspirator-14000m3h-250pa-p-ave-20140;/en/products/avens-hf-fw-15-15-4kw-cabinet-fan-14000m3h-250pa-p-ave-20140;54;
AVE-20150;AVenS-HF/FW 18/18 5,5 kW;cabinet-fans;avens;avens-hucreli-aspiratorler;avens-hucreli-aspiratorler-hf-fw;avens-hf-fw-18-18-5-5kw-20150;;avens-hf-fw-18-18-5-5kw-hucreli-aspirator-18000m3h;avens-hf-fw-18-18-5-5kw-cabinet-fan-18000m3h;/tr/urun/avens-hf-fw-18-18-5-5kw-hucreli-aspirator-18000m3h-p-ave-20150;/en/products/avens-hf-fw-18-18-5-5kw-cabinet-fan-18000m3h-p-ave-20150;50;
AVE-20200;AVenS-HF/S 250 1,1 kW;cabinet-fans;avens;avens-hucreli-hf-s;avens-hucreli-aspiratorler-hf-s;avens-hf-s-250-1-1kw-20200;;avens-hf-s-250-1-1kw-hucreli-aspirator-4000m3h;avens-hf-s-250-1-1kw-cabinet-fan-4000m3h;/tr/urun/avens-hf-s-250-1-1kw-hucreli-aspirator-4000m3h-p-ave-20200;/en/products/avens-hf-s-250-1-1kw-cabinet-fan-4000m3h-p-ave-20200;46;kural2
AVE-20210;AVenS-HF/S 280 1,5 kW;cabinet-fans;avens;avens-hucreli-hf-s;avens-hucreli-aspiratorler-hf-s;avens-hf-s-280-1-5kw-20210;;avens-hf-s-280-1-5kw-hucreli-aspirator-6000m3h-250pa;avens-hf-s-280-1-5kw-cabinet-fan-6000m3h-250pa;/tr/urun/avens-hf-s-280-1-5kw-hucreli-aspirator-6000m3h-250pa-p-ave-20210;/en/products/avens-hf-s-280-1-5kw-cabinet-fan-6000m3h-250pa-p-ave-20210;52;kural2
AVE-20220;AVenS-HF/S 315 3 kW;cabinet-fans;avens;avens-hucreli-hf-s;avens-hucreli-aspiratorler-hf-s;avens-hf-s-315-3kw-20220;;avens-hf-s-315-3kw-hucreli-aspirator-9500m3h-250pa;avens-hf-s-315-3kw-cabinet-fan-9500m3h-250pa;/tr/urun/avens-hf-s-315-3kw-hucreli-aspirator-9500m3h-250pa-p-ave-20220;/en/products/avens-hf-s-315-3kw-cabinet-fan-9500m3h-250pa-p-ave-20220;50;kural2
AVE-20230;AVenS-HF/S 355 4 kW;cabinet-fans;avens;avens-hucreli-hf-s;avens-hucreli-aspiratorler-hf-s;avens-hf-s-355-4kw-20230;;avens-hf-s-355-4kw-hucreli-aspirator-12000m3h-250pa;avens-hf-s-355-4kw-cabinet-fan-12000m3h-250pa;/tr/urun/avens-hf-s-355-4kw-hucreli-aspirator-12000m3h-250pa-p-ave-20230;/en/products/avens-hf-s-355-4kw-cabinet-fan-12000m3h-250pa-p-ave-20230;51;kural2
AVE-20240;AVenS-HF/S 400 5,5 kW;cabinet-fans;avens;avens-hucreli-hf-s;avens-hucreli-aspiratorler-hf-s;avens-hf-s-400-5-5kw-20240;;avens-hf-s-400-5-5kw-hucreli-aspirator-16000m3h-250pa;avens-hf-s-400-5-5kw-cabinet-fan-16000m3h-250pa;/tr/urun/avens-hf-s-400-5-5kw-hucreli-aspirator-16000m3h-250pa-p-ave-20240;/en/products/avens-hf-s-400-5-5kw-cabinet-fan-16000m3h-250pa-p-ave-20240;53;kural2
AVE-20250;AVenS-HF/S 450 7,5 kW;cabinet-fans;avens;avens-hucreli-hf-s;avens-hucreli-aspiratorler-hf-s;avens-hf-s-450-7-5kw-20250;;avens-hf-s-450-7-5kw-hucreli-aspirator-20000m3h-400pa;avens-hf-s-450-7-5kw-cabinet-fan-20000m3h-400pa;/tr/urun/avens-hf-s-450-7-5kw-hucreli-aspirator-20000m3h-400pa-p-ave-20250;/en/products/avens-hf-s-450-7-5kw-cabinet-fan-20000m3h-400pa-p-ave-20250;53;kural2
AVE-20260;AVenS-HF/S 500 11 kW;cabinet-fans;avens;avens-hucreli-hf-s;avens-hucreli-aspiratorler-hf-s;avens-hf-s-500-11kw-20260;;avens-hf-s-500-11kw-hucreli-aspirator-25000m3h;avens-hf-s-500-11kw-cabinet-fan-25000m3h;/tr/urun/avens-hf-s-500-11kw-hucreli-aspirator-25000m3h-p-ave-20260;/en/products/avens-hf-s-500-11kw-cabinet-fan-25000m3h-p-ave-20260;46;kural2
AVE-248312106;KENTALFAN 315 T2 1,5kW;plug-fans;casals;avens-plug-fanlar;avens-plug-fanlar;kentalfan-315-t2-1-5kw-248312106;;casals-kentalfan-315-t2-1-5kw-plug-fan-5260m3h-1000pa;casals-kentalfan-315-t2-1-5kw-plug-fan-5260m3h-1000pa;/tr/urun/casals-kentalfan-315-t2-1-5kw-plug-fan-5260m3h-1000pa-p-ave-248312106;/en/products/casals-kentalfan-315-t2-1-5kw-plug-fan-5260m3h-1000pa-p-ave-248312106;53;kural2
AVE-248314103;KENTALFAN 315 M4 0,25kW;plug-fans;casals;avens-plug-fanlar;avens-plug-fanlar;kentalfan-315-m4-0-25kw-248314103;;casals-kentalfan-315-m4-0-25kw-plug-fan-2590m3h-370pa;casals-kentalfan-315-m4-0-25kw-plug-fan-2590m3h-370pa;/tr/urun/casals-kentalfan-315-m4-0-25kw-plug-fan-2590m3h-370pa-p-ave-248314103;/en/products/casals-kentalfan-315-m4-0-25kw-plug-fan-2590m3h-370pa-p-ave-248314103;53;kural2
AVE-248314106;KENTALFAN 315 T4 0,25kW;plug-fans;casals;avens-plug-fanlar;avens-plug-fanlar;kentalfan-315-t4-0-25kw-248314106;;casals-kentalfan-315-t4-0-25kw-plug-fan-2590m3h-370pa;casals-kentalfan-315-t4-0-25kw-plug-fan-2590m3h-370pa;/tr/urun/casals-kentalfan-315-t4-0-25kw-plug-fan-2590m3h-370pa-p-ave-248314106;/en/products/casals-kentalfan-315-t4-0-25kw-plug-fan-2590m3h-370pa-p-ave-248314106;53;kural2
AVE-248354103;KENTALFAN 355 M4 0,25kW;plug-fans;casals;avens-plug-fanlar;avens-plug-fanlar;kentalfan-355-m4-0-25kw-248354103;;casals-kentalfan-355-m4-0-25kw-plug-fan-3610m3h-470pa;casals-kentalfan-355-m4-0-25kw-plug-fan-3610m3h-470pa;/tr/urun/casals-kentalfan-355-m4-0-25kw-plug-fan-3610m3h-470pa-p-ave-248354103;/en/products/casals-kentalfan-355-m4-0-25kw-plug-fan-3610m3h-470pa-p-ave-248354103;53;kural2
AVE-248354106;KENTALFAN 355 T4 0,25kW;plug-fans;casals;avens-plug-fanlar;avens-plug-fanlar;kentalfan-355-t4-0-25kw-248354106;;casals-kentalfan-355-t4-0-25kw-plug-fan-3610m3h-470pa;casals-kentalfan-355-t4-0-25kw-plug-fan-3610m3h-470pa;/tr/urun/casals-kentalfan-355-t4-0-25kw-plug-fan-3610m3h-470pa-p-ave-248354106;/en/products/casals-kentalfan-355-t4-0-25kw-plug-fan-3610m3h-470pa-p-ave-248354106;53;kural2
AVE-248404103;KENTALFAN 400 M4 0,55kW;plug-fans;casals;avens-plug-fanlar;avens-plug-fanlar;kentalfan-400-m4-0-55kw-248404103;;casals-kentalfan-400-m4-0-55kw-plug-fan-5340m3h-570pa;casals-kentalfan-400-m4-0-55kw-plug-fan-5340m3h-570pa;/tr/urun/casals-kentalfan-400-m4-0-55kw-plug-fan-5340m3h-570pa-p-ave-248404103;/en/products/casals-kentalfan-400-m4-0-55kw-plug-fan-5340m3h-570pa-p-ave-248404103;53;kural2
AVE-248404106;KENTALFAN 400 T4 0,55kW;plug-fans;casals;avens-plug-fanlar;avens-plug-fanlar;kentalfan-400-t4-0-55kw-248404106;;casals-kentalfan-400-t4-0-55kw-plug-fan-5340m3h-570pa;casals-kentalfan-400-t4-0-55kw-plug-fan-5340m3h-570pa;/tr/urun/casals-kentalfan-400-t4-0-55kw-plug-fan-5340m3h-570pa-p-ave-248404106;/en/products/casals-kentalfan-400-t4-0-55kw-plug-fan-5340m3h-570pa-p-ave-248404106;53;kural2
AVE-248454106;KENTALFAN 450 T4 1,1kW;plug-fans;casals;avens-plug-fanlar;avens-plug-fanlar;kentalfan-450-t4-1-1kw-248454106;;casals-kentalfan-450-t4-1-1kw-plug-fan-7870m3h-750pa;casals-kentalfan-450-t4-1-1kw-plug-fan-7870m3h-750pa;/tr/urun/casals-kentalfan-450-t4-1-1kw-plug-fan-7870m3h-750pa-p-ave-248454106;/en/products/casals-kentalfan-450-t4-1-1kw-plug-fan-7870m3h-750pa-p-ave-248454106;52;kural2
AVE-248504106;KENTALFAN 500 T4 1,5kW;plug-fans;casals;avens-plug-fanlar;avens-plug-fanlar;kentalfan-500-t4-1-5kw-248504106;;casals-kentalfan-500-t4-1-5kw-plug-fan-10430m3h-850pa;casals-kentalfan-500-t4-1-5kw-plug-fan-10430m3h-850pa;/tr/urun/casals-kentalfan-500-t4-1-5kw-plug-fan-10430m3h-850pa-p-ave-248504106;/en/products/casals-kentalfan-500-t4-1-5kw-plug-fan-10430m3h-850pa-p-ave-248504106;53;kural2
AVE-248506106;KENTALFAN 500 T6 0,55kW;plug-fans;casals;avens-plug-fanlar;avens-plug-fanlar;kentalfan-500-t6-0-55kw-248506106;;casals-kentalfan-500-t6-0-55kw-plug-fan-6850m3h-350pa;casals-kentalfan-500-t6-0-55kw-plug-fan-6850m3h-350pa;/tr/urun/casals-kentalfan-500-t6-0-55kw-plug-fan-6850m3h-350pa-p-ave-248506106;/en/products/casals-kentalfan-500-t6-0-55kw-plug-fan-6850m3h-350pa-p-ave-248506106;53;kural2
AVE-248564106;KENTALFAN 560 T4 3kW;plug-fans;casals;avens-plug-fanlar;avens-plug-fanlar;kentalfan-560-t4-3kw-248564106;;casals-kentalfan-560-t4-3kw-plug-fan-15040m3h-1150pa;casals-kentalfan-560-t4-3kw-plug-fan-15040m3h-1150pa;/tr/urun/casals-kentalfan-560-t4-3kw-plug-fan-15040m3h-1150pa-p-ave-248564106;/en/products/casals-kentalfan-560-t4-3kw-plug-fan-15040m3h-1150pa-p-ave-248564106;52;kural2
